2022-02-10 02:54:39,666 p=118241 u=root n=ansible | changed: [DB] => (item=python3-mysqldb)
2022-02-10 02:55:01,990 p=118241 u=root n=ansible | changed: [DB] => (item=mysql-server)
2022-02-10 02:55:03,958 p=118241 u=root n=ansible | changed: [DB] => (item=mysql-client)
2022-02-10 02:55:06,437 p=118241 u=root n=ansible | changed: [DB] => (item=default-libmysqlclient-dev)
2022-02-10 02:55:06,452 p=118241 u=root n=ansible | TASK [Check if this old version is absent PyMySQL] *********************************
2022-02-10 02:55:07,850 p=118241 u=root n=ansible | ok: [DB]
2022-02-10 02:55:07,855 p=118241 u=root n=ansible | TASK [Enable remote login to mysql] ************************************************
2022-02-10 02:55:08,266 p=118241 u=root n=ansible | changed: [DB]
2022-02-10 02:55:08,270 p=118241 u=root n=ansible | TASK [Change the authentication plugin of MySQL root user to mysql_native_password] ***
2022-02-10 02:55:08,651 p=118241 u=root n=ansible | changed: [DB]
2022-02-10 02:55:08,657 p=118241 u=root n=ansible | TASK [Flush Privileges] ************************************************************
2022-02-10 02:55:08,921 p=118241 u=root n=ansible | changed: [DB]
2022-02-10 02:55:08,926 p=118241 u=root n=ansible | TASK [Create user with password, all database privileges and 'WITH GRANT OPTION'] ***
2022-02-10 02:55:09,360 p=118241 u=root n=ansible | changed: [DB]
2022-02-10 02:55:09,366 p=118241 u=root n=ansible | TASK [Flush Privileges] ************************************************************
2022-02-10 02:55:09,628 p=118241 u=root n=ansible | changed: [DB]
2022-02-10 02:55:09,633 p=118241 u=root n=ansible | TASK [Restart mysql] ***************************************************************
2022-02-10 02:55:14,230 p=118241 u=root n=ansible | changed: [DB]
2022-02-10 02:55:14,235 p=118241 u=root n=ansible | TASK [Create DB] *******************************************************************
2022-02-10 02:55:14,629 p=118241 u=root n=ansible | changed: [DB]
2022-02-10 02:55:14,630 p=118241 u=root n=ansible | RUNNING HANDLER [Restart mysql] ****************************************************
2022-02-10 02:55:18,837 p=118241 u=root n=ansible | changed: [DB]
2022-02-10 02:55:18,839 p=118241 u=root n=ansible | PLAY RECAP *************************************************************************
2022-02-10 02:55:18,839 p=118241 u=root n=ansible | DB                         : ok=11   changed=9    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2022-02-10 02:57:36,479 p=118527 u=root n=ansible | PLAY [trigger_WEB] *****************************************************************
2022-02-10 02:57:36,488 p=118527 u=root n=ansible | TASK [Gathering Facts] *************************************************************
2022-02-10 02:57:38,607 p=118527 u=root n=ansible | ok: [WEB]
2022-02-10 02:57:38,611 p=118527 u=root n=ansible | TASK [Installing  packages and dependencies] ***************************************
2022-02-10 02:57:47,582 p=118527 u=root n=ansible | changed: [WEB] => (item=python3-setuptools)
2022-02-10 02:58:07,934 p=118527 u=root n=ansible | changed: [WEB] => (item=python3-pip)
2022-02-10 02:58:09,944 p=118527 u=root n=ansible | changed: [WEB] => (item=python3-mysqldb)
2022-02-10 02:58:31,116 p=118527 u=root n=ansible | changed: [WEB] => (item=mysql-server)
2022-02-10 02:58:32,775 p=118527 u=root n=ansible | changed: [WEB] => (item=mysql-client)
2022-02-10 02:58:34,852 p=118527 u=root n=ansible | changed: [WEB] => (item=default-libmysqlclient-dev)
2022-02-10 02:58:37,540 p=118527 u=root n=ansible | changed: [WEB] => (item=supervisor)
2022-02-10 02:58:40,673 p=118527 u=root n=ansible | changed: [WEB] => (item=git)
2022-02-10 02:58:40,691 p=118527 u=root n=ansible | TASK [Install Packages related to WEB] *********************************************
2022-02-10 02:58:47,604 p=118527 u=root n=ansible | changed: [WEB]
2022-02-10 02:58:47,609 p=118527 u=root n=ansible | TASK [Download the code from the GitRepo] ******************************************
2022-02-10 02:58:49,123 p=118527 u=root n=ansible | changed: [WEB]
2022-02-10 02:58:49,128 p=118527 u=root n=ansible | TASK [Enable DB] *******************************************************************
2022-02-10 02:58:49,465 p=118527 u=root n=ansible | changed: [WEB]
2022-02-10 02:58:49,470 p=118527 u=root n=ansible | TASK [Make DB tables] **************************************************************
2022-02-10 02:58:50,167 p=118527 u=root n=ansible | changed: [WEB]
2022-02-10 02:58:50,172 p=118527 u=root n=ansible | TASK [Align DB with Web application] ***********************************************
2022-02-10 02:58:51,464 p=118527 u=root n=ansible | changed: [WEB]
2022-02-10 02:58:51,469 p=118527 u=root n=ansible | TASK [Creating a config file] ******************************************************
2022-02-10 02:58:52,094 p=118527 u=root n=ansible | changed: [WEB]
2022-02-10 02:58:52,099 p=118527 u=root n=ansible | TASK [Re read the package] *********************************************************
2022-02-10 02:58:52,478 p=118527 u=root n=ansible | changed: [WEB]
2022-02-10 02:58:52,483 p=118527 u=root n=ansible | TASK [Start the Web application] ***************************************************
2022-02-10 02:58:52,857 p=118527 u=root n=ansible | changed: [WEB]
2022-02-10 02:58:52,859 p=118527 u=root n=ansible | PLAY RECAP *************************************************************************
2022-02-10 02:58:52,859 p=118527 u=root n=ansible | WEB                        : ok=10   changed=9    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
